,n,log_loss,brier,rps,ece,accuracy
market,2058.0,0.9693,0.5764,0.1943,0.0337,0.5379
dixon_coles,2058.0,0.9991,0.5961,0.2032,0.0283,0.5117
gbm,2058.0,0.973,0.5787,0.1945,0.0337,0.533
ensemble,2058.0,0.9716,0.5785,0.1951,0.025,0.5321
ensemble_cal,2058.0,0.9717,0.5786,0.1951,0.0245,0.5321
